"","Run","Covariance","Variance_V1","Variance_V2","Variance_V3","Variance_epsilon","Variance_gamma","Variance_total_marginal","Variance_total_conditional"
"Run: 20 Cov: none",20,0,0.12769175218363,0.255172181701513,0.376294760719082,0.126564170467009,0.117635229150978,0.759158694604225,0.876793923755204
"Run: 20 Cov: low",20,0.1,0.145164793002175,0.258196059758786,0.37002431817783,0.111867680906477,0.115928963025847,0.773385170938791,0.889314133964638
"Run: 20 Cov: medium",20,0.5,0.218811661044348,0.284959923148231,0.338923105693344,0.0717925773749448,0.0776616095681869,0.842694689885922,0.920356299454109
"Run: 20 Cov: high",20,0.9,0.281104111285328,0.294176975427392,0.304520473761217,0.0539930804776482,0.0638307917705547,0.879801560473936,0.943632352244491
"Run: 21 Cov: none",21,0,0.125969762218802,0.256011713429996,0.37355777724002,0.124644698979608,0.130612013847928,0.755539252888817,0.886151266736745
"Run: 21 Cov: low",21,0.1,0.151188942986872,0.264471844244687,0.375773915122715,0.107699855852205,0.0996619318601148,0.791434702354274,0.891096634214389
"Run: 21 Cov: medium",21,0.5,0.227666454457077,0.290014182436021,0.349549217767754,0.0732669464071893,0.074996270821376,0.867229854660852,0.942226125482228
"Run: 21 Cov: high",21,0.9,0.287659852663486,0.300840364612241,0.312456092253554,0.0544284369814755,0.0460881624217251,0.90095630952928,0.947044471951005
"Run: 22 Cov: none",22,0,0.125851569752966,0.248325139401423,0.369326815271592,0.126166379099641,0.133859110830595,0.74350352442598,0.877362635256574
"Run: 22 Cov: low",22,0.1,0.151590046745315,0.259014016185419,0.387873729159318,0.112664220234651,0.091439834477531,0.798477792090053,0.889917626567584
"Run: 22 Cov: medium",22,0.5,0.218976488819657,0.293263656931569,0.349078785555557,0.0752695597196896,0.0618142048554941,0.861318931306783,0.923133136162277
"Run: 22 Cov: high",22,0.9,0.284688712481059,0.296830758672355,0.308014743414412,0.0563605106143743,0.0519147536139344,0.889534214567826,0.941448968181761
"Run: 23 Cov: none",23,0,0.125281718355328,0.243322613230921,0.366683430952033,0.124296307910432,0.138806808542996,0.735287762538282,0.874094571081278
"Run: 23 Cov: low",23,0.1,0.144970443566513,0.266274187450121,0.366063021184984,0.113772596968303,0.106580679499657,0.777307652201618,0.883888331701276
"Run: 23 Cov: medium",23,0.5,0.218849414142203,0.28843338929567,0.339489332575167,0.0731351644616595,0.0765520498301904,0.846772136013039,0.92332418584323
"Run: 23 Cov: high",23,0.9,0.282402500336541,0.296444364082238,0.305463608572352,0.0548399042754645,0.0535486830801267,0.884310472991131,0.937859156071258
"Run: 24 Cov: none",24,0,0.127201056224364,0.255482263693604,0.381689993079786,0.121772912798945,0.111751067621724,0.764373312997754,0.876124380619478
"Run: 24 Cov: low",24,0.1,0.150378885536636,0.265227764120556,0.370351813546281,0.114601379452855,0.110128306553465,0.785958463203473,0.896086769756938
"Run: 24 Cov: medium",24,0.5,0.220976026457968,0.284814608701013,0.346046272211317,0.077124453211888,0.0772591798856912,0.851836907370297,0.929096087255989
"Run: 24 Cov: high",24,0.9,0.279188966490638,0.291155542649797,0.303073752628527,0.0555667542388985,0.0638784759078709,0.873418261768963,0.937296737676834
"Run: 25 Cov: none",25,0,0.123613809280457,0.241208968962682,0.373970299597071,0.122956393206087,0.133322325217125,0.738793077840209,0.872115403057334
"Run: 25 Cov: low",25,0.1,0.149385156882505,0.262356330064583,0.370269833095065,0.111394237518074,0.106693527109965,0.782011320042153,0.888704847152119
"Run: 25 Cov: medium",25,0.5,0.222522073451182,0.283580126646503,0.343440028866828,0.0719378302116064,0.0737024945341255,0.849542228964513,0.923244723498639
"Run: 25 Cov: high",25,0.9,0.281515142810323,0.295517849439768,0.303019805632338,0.0563127948582302,0.0601945880802483,0.880052797882429,0.940247385962677
"Run: 26 Cov: none",26,0,0.133513140248659,0.245236823189912,0.380627502423721,0.125099195272163,0.115998863673118,0.759377465862292,0.875376329535411
"Run: 26 Cov: low",26,0.1,0.14255750550777,0.251817390362409,0.360698055615636,0.106948469440467,0.13793484781231,0.755072951485815,0.893007799298125
"Run: 26 Cov: medium",26,0.5,0.2225426616431,0.292592700655361,0.343406768890041,0.0721258269001123,0.0761881705601783,0.858542131188502,0.934730301748681
"Run: 26 Cov: high",26,0.9,0.283894968897915,0.298019832488389,0.308321367998687,0.0541555506512597,0.0537851019003459,0.890236169384992,0.944021271285338
"Run: 27 Cov: none",27,0,0.12717306457158,0.249411817799614,0.370999256718868,0.122012200176186,0.118239777524625,0.747584139090061,0.865823916614686
"Run: 27 Cov: low",27,0.1,0.136344114399581,0.26694375413629,0.370272385816985,0.110275303610834,0.122578134905795,0.773560254352856,0.896138389258652
"Run: 27 Cov: medium",27,0.5,0.222748225652628,0.285532487168792,0.346762172931946,0.0735870582219381,0.0678798524177023,0.855042885753365,0.922922738171067
"Run: 27 Cov: high",27,0.9,0.286241235319248,0.301187759362698,0.309125779493023,0.0542705958765672,0.0538892227575917,0.896554774174969,0.95044399693256
"Run: 28 Cov: none",28,0,0.122597601014198,0.24965304197653,0.385903978088658,0.123771842783998,0.117532868213089,0.758154621079386,0.875687489292475
"Run: 28 Cov: low",28,0.1,0.149169524038986,0.267190132375105,0.377699785921986,0.111518205660666,0.0930359439218049,0.794059442336077,0.887095386257882
"Run: 28 Cov: medium",28,0.5,0.219903023038055,0.289120901263529,0.350485639232231,0.0733209386096007,0.070343936050398,0.859509563533814,0.929853499584212
"Run: 28 Cov: high",28,0.9,0.286290364964127,0.297260723549313,0.3086161935414,0.0557853540543309,0.0461408634157696,0.892167282054841,0.938308145470611
"Run: 29 Cov: none",29,0,0.128626826338762,0.252426725211489,0.357563600799597,0.120252482088272,0.138011720955948,0.738617152349849,0.876628873305797
"Run: 29 Cov: low",29,0.1,0.15156146299907,0.258373902278006,0.369612042210641,0.108913128996264,0.105884802024675,0.779547407487718,0.885432209512393
"Run: 29 Cov: medium",29,0.5,0.220171502881663,0.288334646413173,0.34867704803497,0.0715908259680683,0.068049735218595,0.857183197329805,0.9252329325484
"Run: 29 Cov: high",29,0.9,0.284454964108527,0.296151418714895,0.308345473294095,0.0545476633907399,0.0611404226318229,0.888951856117517,0.95009227874934
"Run: 30 Cov: none",30,0,0.12375667946112,0.25094239960062,0.370224923431142,0.122840691090145,0.124620910932207,0.744924002492882,0.869544913425089
"Run: 30 Cov: low",30,0.1,0.146348665867983,0.268356836035126,0.372325146940997,0.10850357160915,0.109980287818353,0.787030648844107,0.89701093666246
"Run: 30 Cov: medium",30,0.5,0.21926864183759,0.290363312107286,0.346160726693452,0.0745972945371248,0.0735952924312782,0.855792680638329,0.929387973069607
"Run: 30 Cov: high",30,0.9,0.284289848254996,0.295583360404889,0.305664779974042,0.0583509716892497,0.0587952447511225,0.885537988633927,0.944333233385049
"Run: 31 Cov: none",31,0,0.121988735939384,0.250896654974081,0.374784653297901,0.121617107330352,0.130094066593731,0.747670044211367,0.877764110805098
"Run: 31 Cov: low",31,0.1,0.15023603442577,0.259761712709877,0.386529476706531,0.106922237878546,0.101983500372237,0.796527223842178,0.898510724214414
"Run: 31 Cov: medium",31,0.5,0.223710586867202,0.284616270627631,0.341024973462306,0.0725396840840395,0.0803442712582522,0.84935183095714,0.929696102215392
"Run: 31 Cov: high",31,0.9,0.286077120593203,0.297967668716047,0.308159109232079,0.0547686202933422,0.0515944941379681,0.892203898541329,0.943798392679297
"Run: 32 Cov: none",32,0,0.128525023883881,0.258415184890288,0.374758607909721,0.126838655361907,0.121237297957949,0.76169881668389,0.882936114641839
"Run: 32 Cov: low",32,0.1,0.144284200991682,0.262308004765832,0.366227187571303,0.112257233796726,0.116665101808835,0.772819393328817,0.889484495137652
"Run: 32 Cov: medium",32,0.5,0.218827933091511,0.281703948336347,0.341818192336018,0.0726216733263202,0.0870093351972523,0.842350073763876,0.929359408961129
"Run: 32 Cov: high",32,0.9,0.283582626386715,0.296631734972374,0.305875665874551,0.0562084744918739,0.0592520509531216,0.88609002723364,0.945342078186762
"Run: 33 Cov: none",33,0,0.12414697882193,0.256472427025148,0.364333127217334,0.125840854671776,0.126472706268402,0.744952533064412,0.871425239332814
"Run: 33 Cov: low",33,0.1,0.143464770776199,0.256504031203653,0.368025107207383,0.102967366594177,0.131227740030443,0.767993909187235,0.899221649217679
"Run: 33 Cov: medium",33,0.5,0.218717657104885,0.291916274324467,0.343955413778441,0.0749345037568939,0.0673666995932052,0.854589345207792,0.921956044800997
"Run: 33 Cov: high",33,0.9,0.285042711934808,0.297981508525803,0.306594020430614,0.053971328520497,0.0596370044008273,0.889618240891225,0.949255245292052
"Run: 34 Cov: none",34,0,0.128171644593471,0.251777206520287,0.385998430575491,0.128585577617959,0.108615096523351,0.765947281689249,0.8745623782126
"Run: 34 Cov: low",34,0.1,0.139935995354601,0.254477498146068,0.37691593729237,0.106853628844579,0.115332577627281,0.771329430793039,0.88666200842032
"Run: 34 Cov: medium",34,0.5,0.222484054877703,0.284117460541109,0.346469805739274,0.0703898797899305,0.066100468769556,0.853071321158086,0.919171789927642
"Run: 34 Cov: high",34,0.9,0.286898396336392,0.300690295681917,0.309299501373647,0.0562038197560556,0.0513693677358141,0.896888193391956,0.94825756112777
"Run: 35 Cov: none",35,0,0.131728452799615,0.250850020819201,0.36784984624733,0.13183902019815,0.121064847367056,0.750428319866145,0.871493167233202
"Run: 35 Cov: low",35,0.1,0.150594730041397,0.265203405393902,0.38507630259846,0.110018120316773,0.0941225712829642,0.800874438033759,0.894997009316724
"Run: 35 Cov: medium",35,0.5,0.221734544842911,0.28700890956186,0.348358125563134,0.0741190042255548,0.0705292327580181,0.857101579967905,0.927630812725923
"Run: 35 Cov: high",35,0.9,0.288049125732396,0.298955496775455,0.30929035295578,0.0561165762391002,0.0486160794147577,0.896294975463632,0.944911054878389
"Run: 36 Cov: none",36,0,0.124272207843571,0.246021575436444,0.378794300084439,0.127094297134126,0.116967149994574,0.749088083364454,0.866055233359027
"Run: 36 Cov: low",36,0.1,0.14725486832028,0.264597904914673,0.370182236908062,0.112720647569274,0.113604273694842,0.782035010143014,0.895639283837856
"Run: 36 Cov: medium",36,0.5,0.222153939054252,0.286537193320332,0.338655644088523,0.068709602942912,0.0746861626875492,0.847346776463108,0.922032939150657
"Run: 36 Cov: high",36,0.9,0.281845294777112,0.29418072349286,0.304334883126118,0.0533024462395324,0.0600675757641785,0.880360901396091,0.940428477160269
"Run: 37 Cov: none",37,0,0.119486960858204,0.257502636027916,0.382280495512748,0.127939234834415,0.117495564311562,0.759270092398869,0.876765656710431
"Run: 37 Cov: low",37,0.1,0.144950871679596,0.255662310462816,0.378830532722952,0.110214939396999,0.102738504496619,0.779443714865365,0.882182219361984
"Run: 37 Cov: medium",37,0.5,0.222168981017794,0.290312592996006,0.348676538380473,0.0756948593985896,0.0775281854180053,0.861158112394273,0.938686297812278
"Run: 37 Cov: high",37,0.9,0.278587404120059,0.293842079121063,0.302320786503147,0.054496556187342,0.0583875825525099,0.874750269744268,0.933137852296778
"Run: 38 Cov: none",38,0,0.125790462212165,0.256265552686154,0.375048482287202,0.126689841454665,0.126478917418306,0.757104497185521,0.883583414603828
"Run: 38 Cov: low",38,0.1,0.143763038136752,0.270155685203236,0.370613661792907,0.110630442158689,0.0974929706310042,0.784532385132895,0.8820253557639
"Run: 38 Cov: medium",38,0.5,0.220711543416138,0.285729086348578,0.345044854315569,0.0711060830271219,0.0768287387021025,0.851485484080285,0.928314222782387
"Run: 38 Cov: high",38,0.9,0.276569050627675,0.291052428456849,0.301608109324734,0.0553719207704697,0.0713128266855548,0.869229588409257,0.940542415094812
"Run: 39 Cov: none",39,0,0.130216801086984,0.254547181838286,0.372837707140055,0.125815902491379,0.11403551562815,0.757601690065325,0.871637205693475
"Run: 39 Cov: low",39,0.1,0.144881858731068,0.263451424098333,0.374203904637205,0.112117746227797,0.108644171308134,0.782537187466605,0.89118135877474
"Run: 39 Cov: medium",39,0.5,0.227226946573747,0.283761482722124,0.3463565202869,0.0744536774872017,0.0730837296214847,0.857344949582771,0.930428679204255
"Run: 39 Cov: high",39,0.9,0.281978796653676,0.293931335987958,0.306823820287444,0.0554078971650696,0.0517696850095157,0.882733952929078,0.934503637938594
"Run: 40 Cov: none",40,0,0.128412652265116,0.252425828833253,0.367368629101808,0.121233116827757,0.128184517976675,0.748207110200177,0.876391628176852
"Run: 40 Cov: low",40,0.1,0.141283375174161,0.258769200957142,0.357637908000009,0.110243004085399,0.121712351946836,0.757690484131312,0.879402836078148
"Run: 40 Cov: medium",40,0.5,0.217800689425777,0.28863558343782,0.340312648487402,0.0725276680767946,0.0811998886514574,0.846748921350999,0.927948810002456
"Run: 40 Cov: high",40,0.9,0.286294768795678,0.299184409381371,0.309540368810816,0.054827278844225,0.0515616681143178,0.895019546987865,0.946581215102183
"Run: 41 Cov: none",41,0,0.126183709891053,0.242838032601588,0.362097991943136,0.12124630068625,0.13705009683654,0.731119734435776,0.868169831272317
"Run: 41 Cov: low",41,0.1,0.143972582396492,0.258084708889783,0.374514933379042,0.109182758471234,0.107948969293224,0.776572224665317,0.884521193958541
"Run: 41 Cov: medium",41,0.5,0.219012864403499,0.28228633283306,0.338565718257597,0.0733997653240393,0.0803255623179641,0.839864915494156,0.920190477812121
"Run: 41 Cov: high",41,0.9,0.284373007310559,0.297609713146653,0.307633823103746,0.0552672997896861,0.0521227512662705,0.889616543560959,0.941739294827229
"Run: 42 Cov: none",42,0,0.130366993568674,0.256860877520493,0.381909879985221,0.129912142763329,0.0946609895753278,0.769137751074388,0.863798740649716
"Run: 42 Cov: low",42,0.1,0.143336580901682,0.266517982766706,0.375789561283625,0.111815361441211,0.107093154761651,0.785644124952013,0.892737279713664
"Run: 42 Cov: medium",42,0.5,0.219306076616553,0.288648389663223,0.342228295538246,0.0752686911818459,0.0756366994156105,0.850182761818023,0.925819461233633
"Run: 42 Cov: high",42,0.9,0.28578779774262,0.297708963955483,0.308628547223376,0.0546124235240449,0.0558190762959577,0.892125308921479,0.947944385217437
"Run: 43 Cov: none",43,0,0.122505989188426,0.25050922794763,0.377708373641659,0.125229534216863,0.122716154397499,0.750723590777716,0.873439745175214
"Run: 43 Cov: low",43,0.1,0.150210019998094,0.247325123575409,0.370447510607492,0.108388258897039,0.121780299888864,0.767982654180996,0.88976295406986
"Run: 43 Cov: medium",43,0.5,0.222700812930002,0.289275294120158,0.345902080352397,0.0749610367063865,0.0692118740669574,0.857878187402557,0.927090061469514
"Run: 43 Cov: high",43,0.9,0.282899303683947,0.2927139628006,0.305148231577521,0.0544001143622688,0.0653056926813705,0.880761498062067,0.946067190743438
"Run: 44 Cov: none",44,0,0.134746477827795,0.243602428428248,0.375555369231461,0.126817481453512,0.113306222559378,0.753904275487504,0.867210498046883
"Run: 44 Cov: low",44,0.1,0.142655213236751,0.267460545130064,0.38847331643497,0.111068467248375,0.0877797983561688,0.798589074801785,0.886368873157954
"Run: 44 Cov: medium",44,0.5,0.224288906390585,0.294879352472203,0.347170474953834,0.0745353938552471,0.0678994456650766,0.866338733816622,0.934238179481698
"Run: 44 Cov: high",44,0.9,0.280925898027818,0.295143405658902,0.304579444759864,0.0559907489191597,0.0624519921555654,0.880648748446583,0.943100740602149
"Run: 45 Cov: none",45,0,0.126255844074142,0.243018363356506,0.383424164757415,0.123694120562853,0.121976373303554,0.752698372188063,0.874674745491617
"Run: 45 Cov: low",45,0.1,0.142704244845913,0.254219815956493,0.378653747980376,0.108873199188092,0.109709068964574,0.775577808782783,0.885286877747357
"Run: 45 Cov: medium",45,0.5,0.220057821454572,0.288731451281271,0.348095972338239,0.0732729409594256,0.0672936244107025,0.856885245074083,0.924178869484785
"Run: 45 Cov: high",45,0.9,0.280736804801999,0.294384954513345,0.304488992594001,0.055331775334589,0.0590478934537248,0.879610751909346,0.93865864536307
"Run: 46 Cov: none",46,0,0.129775238842752,0.25421731289491,0.374753490976944,0.126171795140254,0.12229005123438,0.758746042714606,0.881036093948986
