"","Run","Covariance","Variance_V1","Variance_V2","Variance_V3","Variance_gamma","Variance_epsilon","Variance_total_marginal","Variance_total_conditional"
"Run: 18 Cov: medium",18,0.5,0.221819621862443,0.283953692496588,0.345065975342335,0.0767392830018109,0.0724214272968238,0.850839289701365,0.927578572703176
"Run: 18 Cov: high",18,0.9,0.287024096952851,0.299699870153685,0.308575571245839,0.0509990060436968,0.0537014556039279,0.895299538352375,0.946298544396072
"Run: 19 Cov: none",19,0,0.122061282741518,0.253286051027609,0.381974548252483,0.1188471925585,0.12383092541989,0.75732188202161,0.87616907458011
"Run: 19 Cov: low",19,0.1,0.14485797264002,0.267177933657162,0.380758194557579,0.0929371469192572,0.114268752225982,0.792794100854761,0.885731247774018
"Run: 19 Cov: medium",19,0.5,0.222916146871165,0.294006585194615,0.343552918562818,0.0668123303080932,0.072712019063309,0.860475650628598,0.927287980936691
"Run: 19 Cov: high",19,0.9,0.2842483364715,0.297853063325787,0.305951201759271,0.0574713601163089,0.0544760383271331,0.888052601556558,0.945523961672867
"Run: 20 Cov: none",20,0,0.12573996510657,0.254978741428658,0.377405067240798,0.115755915644546,0.126120310579429,0.758123773776025,0.873879689420571
"Run: 20 Cov: low",20,0.1,0.144581315445295,0.259299914201807,0.368644392154277,0.115763812968446,0.111710565230176,0.772525621801379,0.888289434769824
"Run: 20 Cov: medium",20,0.5,0.21697716732488,0.288259158860752,0.340891164084767,0.0815079971601796,0.0723645125694216,0.846127490270399,0.927635487430578
"Run: 20 Cov: high",20,0.9,0.281549683333544,0.294111569029782,0.304949073885181,0.0652556328843118,0.054134040867182,0.880610326248506,0.945865959132818
"Run: 21 Cov: none",21,0,0.123792570613459,0.255479674269555,0.372370845479095,0.125068807684544,0.123288101953347,0.751643090362109,0.876711898046653
"Run: 21 Cov: low",21,0.1,0.151170939952372,0.263760424952507,0.376381149692424,0.100863911969439,0.107823573433258,0.791312514597303,0.892176426566742
"Run: 21 Cov: medium",21,0.5,0.225841410764575,0.286850893132545,0.34831084456342,0.0668468758129569,0.0721499757265031,0.86100314846054,0.927850024273497
"Run: 21 Cov: high",21,0.9,0.287396240154727,0.301051059495129,0.312732652549962,0.044465304214963,0.0543547435852193,0.901179952199818,0.945645256414781
"Run: 22 Cov: none",22,0,0.125178636098754,0.245804132949532,0.369358947092298,0.133964550231326,0.12569373362809,0.740341716140585,0.87430626637191
"Run: 22 Cov: low",22,0.1,0.152020624629123,0.258617391764518,0.385189729803847,0.0918007852352573,0.112371468567255,0.795827746197488,0.887628531432745
"Run: 22 Cov: medium",22,0.5,0.21822383326157,0.294424880476118,0.349900012510373,0.0620469156393489,0.0754043581125909,0.86254872624806,0.924595641887409
"Run: 22 Cov: high",22,0.9,0.284158190504834,0.297027772995537,0.308286191759235,0.0540281916538634,0.0564996530865304,0.889472155259606,0.94350034691347
"Run: 23 Cov: none",23,0,0.124527000418883,0.243394929697849,0.367793825081875,0.139821776934377,0.124462467867016,0.735715755198607,0.875537532132984
"Run: 23 Cov: low",23,0.1,0.145811644684395,0.266490524403358,0.365892194424432,0.107777662655687,0.114027973832128,0.778194363512185,0.885972026167872
"Run: 23 Cov: medium",23,0.5,0.219216534056103,0.288838093682267,0.339599795681318,0.0789482909574293,0.0733972856228828,0.847654423419688,0.926602714377117
"Run: 23 Cov: high",23,0.9,0.284141738229859,0.297120839441605,0.306751819745977,0.0567173757527147,0.0552682268298436,0.888014397417442,0.944731773170156
"Run: 24 Cov: none",24,0,0.126978315664241,0.25543298357453,0.383256305423691,0.112310046851371,0.122022348486166,0.765667604662462,0.877977651513834
"Run: 24 Cov: low",24,0.1,0.148634764982735,0.264427719563856,0.369127736623387,0.104430590689649,0.113379188140372,0.782190221169979,0.886620811859628
"Run: 24 Cov: medium",24,0.5,0.220035793225157,0.28422397081152,0.344803168519188,0.0742874381788967,0.0766496292652381,0.849062932555865,0.923350370734762
"Run: 24 Cov: high",24,0.9,0.280308749695316,0.292280037546056,0.30419577637876,0.0672339951390374,0.0559814412408304,0.876784563620132,0.94401855875917
"Run: 25 Cov: none",25,0,0.122987570383058,0.24288838573128,0.375172920183326,0.13541339687859,0.123537726823746,0.741048876297664,0.876462273176254
"Run: 25 Cov: low",25,0.1,0.148707834254174,0.261792766703363,0.370951479295489,0.107174784237722,0.111373135509251,0.781452080253026,0.888626864490749
"Run: 25 Cov: medium",25,0.5,0.222959980008009,0.284401697687411,0.343591842572479,0.0767554367089072,0.0722910430231934,0.850953520267899,0.927708956976807
"Run: 25 Cov: high",25,0.9,0.281547751587494,0.295501024908786,0.303826594716597,0.0625943258826782,0.0565303029044446,0.880875371212877,0.943469697095555
"Run: 26 Cov: none",26,0,0.133177307270663,0.243461493285389,0.381467405616486,0.116873100425273,0.125020693402189,0.758106206172538,0.874979306597811
"Run: 26 Cov: low",26,0.1,0.141924914789623,0.252276170800241,0.360430822066734,0.138492292844581,0.106875799498821,0.754631907656598,0.893124200501179
"Run: 26 Cov: medium",26,0.5,0.222228567537082,0.292120568221074,0.341651713318338,0.0723623220127672,0.0716368289107382,0.856000849076495,0.928363171089262
"Run: 26 Cov: high",26,0.9,0.284125528662454,0.298214514190139,0.308693375649971,0.054693244673192,0.0542733368242444,0.891033418502564,0.945726663175756
"Run: 27 Cov: none",27,0,0.127659109146962,0.251424076986871,0.373225721430897,0.124197801175761,0.123493291259509,0.752308907564731,0.876506708740491
"Run: 27 Cov: low",27,0.1,0.134867744573525,0.266166100432097,0.369758267719602,0.119670456982914,0.109537430291862,0.770792112725224,0.890462569708138
"Run: 27 Cov: medium",27,0.5,0.222793658580066,0.285946137701161,0.348014298037499,0.0693959300112689,0.0738499756700052,0.856754094318726,0.926150024329995
"Run: 27 Cov: high",27,0.9,0.285222681222622,0.300358105205619,0.308311588579076,0.0520726432061976,0.054034981786486,0.893892375007316,0.945965018213514
"Run: 28 Cov: none",28,0,0.120726182329319,0.249196442355136,0.386348162947935,0.119909608087198,0.123819604280412,0.75627078763239,0.876180395719588
"Run: 28 Cov: low",28,0.1,0.149281756944696,0.266915797130658,0.378541075246294,0.093591304453656,0.111670066224697,0.794738629321647,0.888329933775303
"Run: 28 Cov: medium",28,0.5,0.219791243943072,0.288346449554631,0.350707751664096,0.0680610795560261,0.0730934752821746,0.858845445161799,0.926906524717825
"Run: 28 Cov: high",28,0.9,0.287276844931163,0.298367810761271,0.309434550252534,0.0487810444175369,0.0561397496374951,0.895079205944968,0.943860250362505
"Run: 29 Cov: none",29,0,0.128261599675909,0.254731559434538,0.357614310818951,0.13877795734581,0.120614572724791,0.740607469929398,0.879385427275209
"Run: 29 Cov: low",29,0.1,0.152335913025133,0.258505839782905,0.369613430800109,0.110020820093597,0.109523996298255,0.780455183608147,0.890476003701745
"Run: 29 Cov: medium",29,0.5,0.219823231675142,0.28881450868002,0.350508413572193,0.0690285194765951,0.0718253265960495,0.859146153927355,0.928174673403951
"Run: 29 Cov: high",29,0.9,0.283772259801333,0.294567933849394,0.307471334016593,0.0598845380568613,0.0543039342758181,0.885811527667321,0.945696065724182
"Run: 30 Cov: none",30,0,0.122561069841723,0.252662890754803,0.372572451954016,0.128441760774151,0.123761826675307,0.747796412550542,0.876238173324693
"Run: 30 Cov: low",30,0.1,0.145206947600467,0.268325157603365,0.371308290802664,0.107256962589121,0.107902641404383,0.784840396006496,0.892097358595617
"Run: 30 Cov: medium",30,0.5,0.218831776346843,0.288935355994744,0.346240229375005,0.0716816059063673,0.0743110323770403,0.854007361716592,0.92568896762296
"Run: 30 Cov: high",30,0.9,0.284058786868927,0.295474606443282,0.305427443925198,0.0568223107855462,0.0582168519770472,0.884960837237407,0.941783148022953
"Run: 31 Cov: none",31,0,0.122376303187722,0.250530631055237,0.37489310448796,0.130516400280962,0.121683560988118,0.74780003873092,0.878316439011882
"Run: 31 Cov: low",31,0.1,0.149692431563143,0.257902261130218,0.385402356307862,0.100665692021277,0.106337258977501,0.792997049001222,0.893662741022499
"Run: 31 Cov: medium",31,0.5,0.223046840112649,0.285574672530936,0.338320588883394,0.0806799925447822,0.0723779059282379,0.84694210152698,0.927622094071762
"Run: 31 Cov: high",31,0.9,0.285737350057393,0.297420747919791,0.309036742872219,0.0529416902659315,0.0548634688846651,0.892194840849403,0.945136531115335
"Run: 32 Cov: none",32,0,0.126656045759379,0.255967050484918,0.375487465310986,0.11630114499394,0.125588293450777,0.758110561555283,0.874411706549223
"Run: 32 Cov: low",32,0.1,0.141949227372214,0.264452758259162,0.366578465659833,0.114984312093723,0.112035236615069,0.772980451291208,0.887964763384931
"Run: 32 Cov: medium",32,0.5,0.217084534989406,0.282091545550185,0.341724625760011,0.0866187205164244,0.0724805731839741,0.840900706299601,0.927519426816026
"Run: 32 Cov: high",32,0.9,0.28363204909444,0.296233967937372,0.305142788706531,0.0588463321649181,0.0561448620967393,0.885008805738343,0.943855137903261
"Run: 33 Cov: none",33,0,0.124964689028397,0.258079655319564,0.363419478273317,0.127376501611126,0.126159675767595,0.746463822621279,0.873840324232405
"Run: 33 Cov: low",33,0.1,0.143702720510961,0.257191160154906,0.364656384756909,0.131756109376827,0.102693625200397,0.765550265422775,0.897306374799603
"Run: 33 Cov: medium",33,0.5,0.219704424074261,0.290550690795122,0.345941101435753,0.0686230151874336,0.0751807685074306,0.856196216305136,0.924819231492569
"Run: 33 Cov: high",33,0.9,0.283861683885584,0.29734838749492,0.306803562275338,0.0581823243642881,0.0538040419798692,0.888013633655843,0.946195958020131
"Run: 34 Cov: none",34,0,0.129259715727873,0.251755162108209,0.383815495449929,0.10699984106567,0.128169785648319,0.764830373286011,0.871830214351681
"Run: 34 Cov: low",34,0.1,0.141995557076587,0.255878515490045,0.375458638999886,0.119144957176364,0.107522331257118,0.773332711566517,0.892477668742882
"Run: 34 Cov: medium",34,0.5,0.222442552072438,0.286611797769334,0.349527006644606,0.070278887013413,0.0711397565002092,0.858581356486378,0.928860243499791
"Run: 34 Cov: high",34,0.9,0.285945430394091,0.300246819279852,0.30777430726232,0.0500614385203488,0.0559720045433876,0.893966556936264,0.944027995456612
"Run: 35 Cov: none",35,0,0.130581484832401,0.2494332197758,0.369392505998072,0.119213687557702,0.131379101836026,0.749407210606273,0.868620898163974
"Run: 35 Cov: low",35,0.1,0.147697838297551,0.263487963877543,0.385341192865098,0.0940064208660677,0.109466584093741,0.796526995040192,0.890533415906259
"Run: 35 Cov: medium",35,0.5,0.222408738547809,0.286033508837382,0.348410900089606,0.0691529934386466,0.0739938590865575,0.856853147474796,0.926006140913442
"Run: 35 Cov: high",35,0.9,0.287302697317931,0.299501054041386,0.309000285976212,0.0481209045736055,0.0560750580908659,0.895804037335528,0.943924941909134
"Run: 36 Cov: none",36,0,0.124241422675713,0.247679949146842,0.3804467953977,0.119681588145638,0.127950244634107,0.752368167220255,0.872049755365893
"Run: 36 Cov: low",36,0.1,0.146127999086179,0.262897902694703,0.368986943614172,0.110222257141788,0.111764897463158,0.778012845395054,0.888235102536842
"Run: 36 Cov: medium",36,0.5,0.222359606426162,0.289027472324833,0.339910674714069,0.079344102885226,0.0693581436497098,0.851297753465064,0.93064185635029
"Run: 36 Cov: high",36,0.9,0.283341200916633,0.294806868043637,0.305732771579944,0.0624730273939262,0.0536461320658602,0.883880840540214,0.94635386793414
"Run: 37 Cov: none",37,0,0.117876936849915,0.256474817011199,0.382494964381746,0.115831290237564,0.127321991519576,0.75684671824286,0.872678008480424
"Run: 37 Cov: low",37,0.1,0.143491849201536,0.256533446630327,0.381697522577866,0.107225321955758,0.111051859634514,0.781722818409728,0.888948140365486
"Run: 37 Cov: medium",37,0.5,0.222106804295972,0.285677394972841,0.347249705004534,0.070336425305107,0.0746296704215467,0.855033904273346,0.925370329578453
"Run: 37 Cov: high",37,0.9,0.280944121982893,0.296030123043622,0.30519028005697,0.0626504307402911,0.0551850441762242,0.882164525083485,0.944814955823776
"Run: 38 Cov: none",38,0,0.124973043530451,0.254361492390133,0.372624384891384,0.122661456817411,0.125379622370621,0.751958920811968,0.874620377629379
"Run: 38 Cov: low",38,0.1,0.142602432252234,0.272585044257654,0.373758768602278,0.0996099305661137,0.111443824321721,0.788946245112166,0.888556175678279
"Run: 38 Cov: medium",38,0.5,0.220648380413207,0.285857918388126,0.345072475032223,0.0772692898073498,0.071151936359093,0.851578773833557,0.928848063640907
"Run: 38 Cov: high",38,0.9,0.276741686058214,0.292180942803097,0.302089445993701,0.0733668667468986,0.0556210583980898,0.871012074855012,0.94437894160191
"Run: 39 Cov: none",39,0,0.129719915873707,0.255632210895726,0.373703372598354,0.11482435426833,0.126120146363884,0.759055499367786,0.873879853636116
"Run: 39 Cov: low",39,0.1,0.144348586749943,0.26301942681474,0.373324945060496,0.107563469928974,0.111743571445847,0.780692958625179,0.888256428554153
"Run: 39 Cov: medium",39,0.5,0.227845116247511,0.283982044072861,0.345152484198894,0.0689184402190473,0.0741019152616865,0.856979644519266,0.925898084738313
"Run: 39 Cov: high",39,0.9,0.283315230160514,0.294954672072917,0.308638121347887,0.0571027837468985,0.0559891926717832,0.886908023581318,0.944010807328217
"Run: 40 Cov: none",40,0,0.130154140364552,0.25212350648535,0.367165638384856,0.129045192795886,0.121511521969356,0.749443285234758,0.878488478030644
"Run: 40 Cov: low",40,0.1,0.142901841819656,0.260455337302323,0.35784233928586,0.127437666987355,0.111362814604806,0.761199518407839,0.888637185395194
"Run: 40 Cov: medium",40,0.5,0.218170911135884,0.288323852080357,0.339301640670319,0.0817109095331184,0.0724926865803223,0.845796403886559,0.927507313419678
"Run: 40 Cov: high",40,0.9,0.285631178654724,0.299487302587153,0.309243818558355,0.0508713005265509,0.0547663996732173,0.894362299800232,0.945233600326783
"Run: 41 Cov: none",41,0,0.127617088449416,0.245912139413704,0.362439827444985,0.141501797091885,0.122529147600009,0.735969055308106,0.877470852399991
"Run: 41 Cov: low",41,0.1,0.142071904557191,0.258560572859861,0.378847799846282,0.110649707473483,0.109870015263183,0.779480277263334,0.890129984736817
"Run: 41 Cov: medium",41,0.5,0.220936004684391,0.281812777462262,0.340402522213083,0.0829764706478405,0.0738722249924233,0.843151304359736,0.926127775007577
"Run: 41 Cov: high",41,0.9,0.28449421523015,0.297693114759846,0.308477140239701,0.0538903589769038,0.0554451707933984,0.890664470229698,0.944554829206602
"Run: 42 Cov: none",42,0,0.130567219748213,0.259180148106585,0.382471579024216,0.0970536679245819,0.130727385196405,0.772218946879013,0.869272614803595
"Run: 42 Cov: low",42,0.1,0.141101200299781,0.267860956852175,0.373210431458662,0.106529251032582,0.1112981603568,0.782172588610618,0.8887018396432
"Run: 42 Cov: medium",42,0.5,0.219181648537596,0.289215523200301,0.341199447161083,0.0752291645639739,0.0751742165370459,0.84959661889898,0.924825783462954
"Run: 42 Cov: high",42,0.9,0.286246287949765,0.297522262438438,0.308755873511397,0.0529781747442225,0.0544974013561776,0.8925244238996,0.945502598643822
"Run: 43 Cov: none",43,0,0.121745674229126,0.251045670081564,0.378642140054988,0.123192816850893,0.125373698783428,0.751433484365679,0.874626301216572
"Run: 43 Cov: low",43,0.1,0.148690382883884,0.24615886634367,0.373701003168257,0.122865592021609,0.10858415558258,0.768550252395811,0.89141584441742
"Run: 43 Cov: medium",43,0.5,0.223446017457214,0.288280058894161,0.344813284724446,0.0686412668997933,0.0748193720243857,0.856539361075821,0.925180627975614
"Run: 43 Cov: high",43,0.9,0.282885038800696,0.291856415389653,0.304611410859002,0.0662632314055464,0.0543839035451031,0.879352865049351,0.945616096454897
"Run: 44 Cov: none",44,0,0.133820787044889,0.246301745244445,0.37581781177176,0.116498146049048,0.127561509889858,0.755940344061094,0.872438490110142
"Run: 44 Cov: low",44,0.1,0.142457854861566,0.265940660881214,0.389521184027078,0.0907473589957318,0.11133294123441,0.797919699769858,0.88866705876559
"Run: 44 Cov: medium",44,0.5,0.22229804305666,0.294179454201685,0.345601576986976,0.0640216705078123,0.0738992552468669,0.862079074245321,0.926100744753133
"Run: 44 Cov: high",44,0.9,0.280947092264974,0.295154656252465,0.305412235196568,0.0624308713512274,0.0560551449347657,0.881513983714007,0.943944855065234
"Run: 45 Cov: none",45,0,0.1256257379121,0.243868682188383,0.384128347332648,0.122503692150447,0.123873540416422,0.753622767433132,0.876126459583578
"Run: 45 Cov: low",45,0.1,0.141563785858118,0.255691581089131,0.380256311134928,0.112981488539485,0.109506833378339,0.777511678082177,0.890493166621661
"Run: 45 Cov: medium",45,0.5,0.219137570842352,0.2886261853787,0.348819687047786,0.0699503586115823,0.0734661981195806,0.856583443268837,0.926533801880419
"Run: 45 Cov: high",45,0.9,0.281449102738964,0.296131825442526,0.304270612226617,0.0624585944640773,0.0556898651278154,0.881851540408107,0.944310134872185
"Run: 46 Cov: none",46,0,0.131262736996993,0.253538967855616,0.36913979911894,0.120812940761519,0.125245555266933,0.753941503971548,0.874754444733067
